type,properties/Name,properties/description,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry/coordinates/0/0,geometry/coordinates/0/1,geometry/coordinates/1/0,geometry/coordinates/1/1,geometry/coordinates/2/0,geometry/coordinates/2/1,geometry/coordinates/3/0,geometry/coordinates/3/1,geometry/coordinates/4/0,geometry/coordinates/4/1,geometry/coordinates/5/0,geometry/coordinates/5/1,geometry/coordinates/6/0,geometry/coordinates/6/1,geometry/coordinates/7/0,geometry/coordinates/7/1,geometry/coordinates/8/0,geometry/coordinates/8/1,geometry/coordinates/9/0,geometry/coordinates/9/1,geometry/coordinates/10/0,geometry/coordinates/10/1,geometry/coordinates/11/0,geometry/coordinates/11/1,geometry/coordinates/12/0,geometry/coordinates/12/1,geometry/coordinates/13/0,geometry/coordinates/13/1,geometry/coordinates/14/0,geometry/coordinates/14/1,geometry/coordinates/15/0,geometry/coordinates/15/1,geometry/coordinates/16/0,geometry/coordinates/16/1,geometry/coordinates/0/0/0,geometry/coordinates/0/0/1,geometry/coordinates/0/1/0,geometry/coordinates/0/1/1,geometry/coordinates/0/2/0,geometry/coordinates/0/2/1,geometry/coordinates/0/3/0,geometry/coordinates/0/3/1,geometry/coordinates/0/4/0,geometry/coordinates/0/4/1,geometry/coordinates/0/5/0,geometry/coordinates/0/5/1,geometry/coordinates/0/6/0,geometry/coordinates/0/6/1,geometry/coordinates/0/7/0,geometry/coordinates/0/7/1,geometry/coordinates/0/8/0,geometry/coordinates/0/8/1,geometry/coordinates/0/9/0,geometry/coordinates/0/9/1,geometry/coordinates/0/10/0,geometry/coordinates/0/10/1,geometry/coordinates/0/11/0,geometry/coordinates/0/11/1,geometry/coordinates/0/12/0,geometry/coordinates/0/12/1,geometry/coordinates/17/0,geometry/coordinates/17/1,geometry/coordinates/18/0,geometry/coordinates/18/1,geometry/coordinates/19/0,geometry/coordinates/19/1,geometry/coordinates/20/0,geometry/coordinates/20/1,geometry/coordinates/21/0,geometry/coordinates/21/1,geometry/coordinates/22/0,geometry/coordinates/22/1,geometry/coordinates/23/0,geometry/coordinates/23/1,geometry/coordinates/24/0,geometry/coordinates/24/1,geometry/coordinates/25/0,geometry/coordinates/25/1,geometry/coordinates/26/0,geometry/coordinates/26/1,geometry/coordinates/27/0,geometry/coordinates/27/1,geometry/coordinates/28/0,geometry/coordinates/28/1,geometry/coordinates/29/0,geometry/coordinates/29/1,geometry/coordinates/30/0,geometry/coordinates/30/1,geometry/coordinates/31/0,geometry/coordinates/31/1,geometry/coordinates/32/0,geometry/coordinates/32/1,geometry/coordinates/0/13/0,geometry/coordinates/0/13/1,geometry/coordinates/0/14/0,geometry/coordinates/0/14/1,geometry/coordinates/0/15/0,geometry/coordinates/0/15/1,geometry/coordinates/0/16/0,geometry/coordinates/0/16/1,geometry/coordinates/0/17/0,geometry/coordinates/0/17/1,geometry/coordinates/0/18/0,geometry/coordinates/0/18/1
Security Perimeter,SEC Perimeter 3,,LineString,,,2.2756898,48.8458023,2.2883498,48.8546978,2.2893798,48.8558272,2.2895514,48.857239,2.2964179,48.8619824,2.3003661,48.8629988,2.3087775,48.8630552,2.3179614,48.8631682,2.3331534,48.8585943,2.3387324,48.8574649,2.340964,48.8559402,2.3442256,48.8538506,2.3468005,48.8531165,2.3504054,48.8515351,2.3588168,48.8491065,2.3740947,48.8379221,2.3865401,48.8270178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security Perimeter,SEC Perimeter 4,,LineString,,,2.3865401,48.8270178,2.3932349,48.821706,2.3959815,48.8201802,2.4003589,48.8185413,2.4029338,48.817524,2.4070536,48.8167328,2.4091994,48.8154329,2.4093711,48.8145851,2.4017321,48.8144155,2.396754,48.8189934,2.3939216,48.8179196,2.3869693,48.824701,2.3857676,48.8241925,2.3844802,48.824249,2.3875701,48.8247575,2.3890292,48.8252096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security Perimeter,SEC Perimeter 5,,LineString,,,2.3875052,48.8263524,2.3832351,48.8255614,2.3819476,48.8258298,2.3809391,48.8263524,2.3782569,48.8290929,2.3715406,48.8361129,2.3684399,48.8348559,2.3651248,48.8338107,2.3614234,48.8356892,2.3594171,48.8366496,2.3582584,48.8375041,2.3571425,48.838415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security Perimeter,SEC Perimeter 6,,LineString,,,2.3571425,48.838415,2.35606,48.8411299,2.3550515,48.8438413,2.3546438,48.8464114,2.353925,48.8470115,2.3528843,48.8475693,2.3501806,48.8482753,2.3488288,48.8501321,2.3364906,48.8531607,2.3315446,48.8543255,2.3292862,48.8549432,2.3278459,48.8553297,2.327178,48.8556173,2.3258047,48.8562385,2.3246138,48.8551161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security Perimeter,SEC Perimeter 7,,LineString,,,2.3057573,48.8545573,2.3065406,48.8541619,2.3145872,48.8537737,2.3149305,48.8562727,2.3168403,48.8558068,2.317484,48.8576703,2.3204452,48.8567809,2.3221403,48.8562585,2.323814,48.8555526,2.3246138,48.8551161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security Perimeter,SEC Perimeter 8,,Polygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3531546,48.8538006,2.3529615,48.8536876,2.3533263,48.8523745,2.3537769,48.8516403,2.3552145,48.8513015,2.359034,48.8500166,2.3600854,48.8494518,2.3603644,48.8494518,2.3602142,48.8501719,2.3602356,48.8511038,2.3599781,48.851485,2.3531546,48.8538006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security Perimeter,SEC Perimeter,,Polygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3392715,48.857796,2.3407735,48.856949,2.3430051,48.8550148,2.3464383,48.8536735,2.3483266,48.8527981,2.3526825,48.8515274,2.3522748,48.8525863,2.352189,48.8535182,2.3510732,48.8548171,2.3494639,48.8554666,2.3457302,48.856596,2.3414387,48.8572878,2.3392715,48.857796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security Perimeter,SEC Perimeter 10,,LineString,,,2.2626253,48.8353666,2.267662,48.8402284,2.2730215,48.8450194,2.2780426,48.8491144,2.2858532,48.8556657,2.2912176,48.8601551,2.2942217,48.8623573,2.2977837,48.8634301,2.3015173,48.8641077,2.3035933,48.8639861,2.3058195,48.8640479,2.3101218,48.8641574,2.3187263,48.8643335,2.3314293,48.8601551,2.3361929,48.8591104,2.3429735,48.8581504,2.3516424,48.8554963,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3523291,48.8549598,2.3607834,48.8517407,2.3609121,48.8511477,2.3613842,48.8490579,2.3654182,48.846375,2.375675,48.8386079,2.3759754,48.8379018,2.3874338,48.8287773,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security Perimeter,SEC Perimeter 11,,LineString,,,2.3874338,48.8287773,2.3902233,48.8269692,2.3904808,48.8282405,2.3908456,48.8285513,2.3915537,48.8286361,2.3934849,48.827958,2.3950512,48.8280287,2.3985918,48.8288056,2.3998203,48.8291446,2.4008556,48.829639,2.3972185,48.8319697,2.393914,48.8340884,2.3926266,48.8351618,2.3921116,48.8349005,2.3900517,48.8369555,2.387863,48.8365177,2.3877557,48.8362847,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3871334,48.8359245,2.3866613,48.8359245,2.3854382,48.8351971,2.3792584,48.8400344,2.3777618,48.8412242,2.376351,48.8420609,2.3723276,48.8442568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security Perimeter,SEC Perimeter 12,,LineString,,,2.3723276,48.8442568,2.3720303,48.8445548,2.3709681,48.8455927,2.3723736,48.8457621,2.3692837,48.8525327,2.3695627,48.8532245,2.3693481,48.8534928,2.3689404,48.8534928,2.3687258,48.8533657,2.3684469,48.8531822,2.3664727,48.8534504,2.362782,48.8545799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security Perimeter,SEC Perimeter 13,,LineString,,,2.362782,48.8545799,2.3629751,48.8547352,2.3636189,48.8555965,2.3642411,48.8564718,2.3617735,48.8571777,2.3614731,48.85674,2.3612478,48.8554129,2.3571601,48.8565,2.3563233,48.8567259,2.3551431,48.8570506,2.3547139,48.8572765,2.3488989,48.8594224,2.3483196,48.8583777,2.3472681,48.8587024,2.347354,48.8589283,2.3472252,48.8591683,2.3456588,48.8606929,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3450365,48.8609894,2.3439636,48.8611164,2.3411742,48.8616387,2.3354879,48.8631068,2.3285141,48.866551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security Perimeter,SEC Perimeter 14,,LineString,,,2.3285141,48.866551,2.3250399,48.8677305,2.3215655,48.8687828,2.3190765,48.8695097,2.3176925,48.8702507,2.3163835,48.8710411,2.3160429,48.8711893,2.3140392,48.8717539,2.3123709,48.8722425,2.3107026,48.8727806,2.3123951,48.8733628,2.3143718,48.8737226,2.3143236,48.8751975,2.3128054,48.8751586,2.3127357,48.8763934,2.312611,48.8764667,2.3125594,48.8765491,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3114885,48.877055,2.3106557,48.8774898,2.3103593,48.8776071,2.3122502,48.8785138,2.3132305,48.878976,2.3141626,48.8794417,2.3124997,48.8807928,2.3103861,48.8805459,2.3091469,48.8804189,2.3083905,48.8802425,2.3032836,48.8790854,2.2988204,48.8781822,2.2981498,48.8776777,2.2946174,48.8785069,2.2928511,48.8789108,2.2910634,48.8792865,,,,,,,,,,,,
Security Perimeter,SEC Perimeter 15,,LineString,,,2.2910634,48.8792865,2.2907979,48.8794986,2.291144,48.8797072,2.289384,48.8813079,2.2873449,48.883145,2.284468,48.8855773,2.2821747,48.8838276,2.2813164,48.8837359,2.2795783,48.881062,2.2792296,48.8809808,2.2789882,48.8807621,2.2787737,48.8804799,2.2790312,48.8801694,2.2785591,48.8794074,2.2799753,48.8789558,2.2789024,48.8771213,2.2786985,48.8771989,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2769229,48.8769272,2.2759627,48.876592,2.2710918,48.8748915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security Perimeter,SEC Perimeter 16,,LineString,,,2.2710918,48.8748915,2.2741806,48.872268,2.2751677,48.8720987,2.2758114,48.871647,2.2773134,48.8713365,2.2849524,48.8698687,2.2854674,48.8698687,2.2856819,48.8696711,2.2856819,48.8693323,2.2847807,48.8693606,2.2812187,48.8677233,2.279545,48.8655213,2.2767985,48.8631498,2.2764551,48.8627546,2.28109,48.8602983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security Perimeter,SEC Perimeter 17,,LineString,,,2.28109,48.8602983,2.2847511,48.8583767,2.283013,48.856979,2.282026,48.8564567,2.2803308,48.854946,2.2785284,48.8543107,2.2760393,48.8526729,2.2757389,48.8526588,2.2741939,48.8518681,2.2752024,48.8512327,2.2712971,48.8496231,2.266555,48.8452033,2.2646238,48.8430569,2.263744,48.8416306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security Perimeter,SEC Perimeter 18,,LineString,,,2.263744,48.8416306,2.2655994,48.8408371,2.2648913,48.8405264,2.2665436,48.8398485,2.2654278,48.8389023,2.2647411,48.8390859,2.2628529,48.8377865,2.2637541,48.8373628,2.2618443,48.8355409,2.263151,48.8352183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security Perimeter,SEC Perimeter 19,,Polygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.401323,48.8292497,2.3981902,48.8284587,2.395229,48.8276393,2.3943278,48.8276111,2.3921391,48.8265657,2.3975464,48.8225537,2.401838,48.8209996,2.4077174,48.8193042,2.4079749,48.8203215,2.4074599,48.8213387,2.4039408,48.8234861,2.4051854,48.8245315,2.4024817,48.8258312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4012372,48.826594,2.3989626,48.8285152,2.4002501,48.8287977,2.4015805,48.8280631,2.40231,48.8287129,2.401323,48.8292497
OLY Venue,Stade Tour Eiffel,,Point,2.2971779,48.8566617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLY Venue,Arena Champ de Mars,,Point,2.3022204,48.8531215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLY Venue,Invalides,,Point,2.3132068,48.8600958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLY Venue,Concorde 1,,Point,2.3207382,48.8664118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLY Venue,Grand Palais Pont Alexandre III,,Point,2.3121768,48.8662922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLY Venue,Concorde 2,,Point,2.3225623,48.8659817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLY Venue,Concorde 3,,Point,2.3197299,48.865163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLY Venue,TrocadÃ©ro,,Point,2.2901668,48.8610346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLY Venue,Concorde 4,,Point,2.321704,48.8649371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLY Venue,Hotel de Ville,,Point,2.3515269,48.8566997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLY Venue,Bercy,,Point,2.3785529,48.8387035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,Renaissance Paris Nobel Tour Eiffel Hotel,,Point,2.2857141,48.8672555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,Grand Hôtel du Palais Royal,STK FDJ Full Prg Mgt,Point,2.3379051,48.8631306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,Hotel du Collectionneur,,Point,2.3068725,48.8770171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,Hyatt Regency Paris Étoile,,Point,2.2844977,48.8804614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,Castille Paris,STK PwC Full Pgr Mgt,Point,2.326849,48.8683896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,"InterContinental Paris - Le Grand, an IHG Hotel",,Point,2.32996,48.87023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,Maison Delano Paris,,Point,2.3206498,48.869492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,"The Hoxton, Paris",,Point,2.3465669,48.8702063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,Novotel Paris Les Halles,,Point,2.3465318,48.8607658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,"Hôtel de Crillon, A Rosewood Hotel",,Point,2.3210947,48.8672743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,J.K. Place Paris,Avica 37x - Cat B - Riverside Maison,Point,2.3215397,48.8610705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,Hotel Fauchon,Bank of America (Octagon) - 22x - Cat A - Gold - Riverside Palais Diner,Point,2.3233745,48.8705595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,Le Narcisse Blanc Hotel & Spa,Eli Lilly (Optimum) - 46x CAT A - TRA to ALMAÂ  Bridge 360,Point,2.3104337,48.8605538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,Maison Villeroy,Endeavor - 24 pax TRA to ALMA Bridge 360,Point,2.3047481,48.8653273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,Norman hôtel - Paris Champs Élysées,Goldman Sachs - 60x CAT A TRA to ALMAÂ  Bridge 360,Point,2.3002975,48.873694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,Saint James Paris,,Point,2.2796401,48.8706168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,Park Hyatt Paris-Vendôme,MET - 10x CAT A TRA to ALMA Bridge 360,Point,2.3305496,48.8688209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,Ritz Paris,Ralph Lauren - 32x pax - TRA to Cat A - Quayside Alma,Point,2.3288932,48.8680987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,Le Bristol Paris,,Point,2.3147996,48.8716864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,Le Meurice,,Point,2.3280831,48.8651888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,The Peninsula Paris,,Point,2.293402,48.8710605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,Crystal Park,,Point,2.2760262,48.8920076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,J.K. Place Paris,36x pax Riverside Maison B,Point,2.3215397,48.8610705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,Le Burgundy Paris,ODDO BHF,Point,2.3258952,48.8679751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,Hôtel Madame Rêve,,Point,2.342873,48.8645355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dedicated Street,Dedicated Street Rue A. Briand,264m,LineString,,,2.3188854,48.8608509,2.3195077,48.8618637,2.3196579,48.862199,2.3193843,48.8624107,2.3189766,48.8625554,2.319218,48.8628625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dedicated Street,Dedicated Street Av. Dutuit,606m,LineString,,,2.3160043,48.8669072,2.3157254,48.8665543,2.3156181,48.8650369,2.3181286,48.8650651,2.318429,48.8646911,2.3187509,48.8645076,2.3199954,48.8641264,2.3198882,48.8638653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCH,PCH Concorde Rive Droite,,Point,2.3199203,48.8639359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCH,PCH Concorde Rive Gauche,,Point,2.319218,48.8628625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dedicated Street,Dedicated Street Av George V,483m,LineString,,,2.3011663,48.8682975,2.3014989,48.8649381,2.3013487,48.8645429,2.3013809,48.8643946,2.3016599,48.8640206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSE,PSE Alma Rive Droite,,Point,2.301589,48.8642094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dedicated Street,Dedicated Street Av Rapp,583m,LineString,,,2.3002849,48.8579915,2.3015938,48.8625513,2.3017011,48.8631442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCH,PCH Alma Rive Gauche,,Point,2.3016367,48.8629889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dedicated Street,Dedicated Street Bld Tour Maubourg,696m,LineString,,,2.3101874,48.8601059,2.3103698,48.8625339,2.3097154,48.8626116,2.3091038,48.8629504,2.3073121,48.8629433,2.3057993,48.862908,2.3047694,48.863021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCH,PCH The Deck,,Point,2.3058047,48.8629116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dedicated Street,Dedicated Street Invalides 3,165m,LineString,,,2.3077228,48.862941,2.3080795,48.8630098,2.3098793,48.8630398,2.3098739,48.8630945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCH,PCH Invalides 3,,Point,2.3098739,48.8630574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dedicated Street,Dedicated Street Av Franklin Roosevelt,211m,LineString,,,2.3101259,48.8659806,2.3101045,48.8651266,2.3103727,48.8641032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
